Week,Beirut: (United States),Shooting of Breonna Taylor: (United States),NBA: (United States),Vaccine: (United States)
12/22/2019,<1,<1,67,4
12/29/2019,<1,0,55,5
1/5/2020,<1,0,54,6
1/12/2020,<1,0,48,6
1/19/2020,<1,0,59,6
1/26/2020,<1,0,81,7
2/2/2020,<1,0,68,7
2/9/2020,<1,0,55,7
2/16/2020,<1,0,41,7
2/23/2020,<1,0,55,10
3/1/2020,<1,0,59,12
3/8/2020,<1,<1,73,16
3/15/2020,<1,<1,17,21
3/22/2020,<1,0,13,14
3/29/2020,<1,<1,14,15
4/5/2020,<1,<1,14,14
4/12/2020,<1,<1,13,13
4/19/2020,<1,0,14,14
4/26/2020,<1,0,15,13
5/3/2020,<1,<1,14,15
5/10/2020,<1,2,14,14
5/17/2020,1,1,15,15
5/24/2020,<1,5,14,11
5/31/2020,<1,17,15,8
6/7/2020,<1,7,12,9
6/14/2020,<1,4,11,11
6/21/2020,<1,4,13,12
6/28/2020,<1,3,14,12
7/5/2020,<1,2,13,13
7/12/2020,<1,4,15,18
7/19/2020,<1,3,28,17
7/26/2020,<1,3,45,16
8/2/2020,72,2,69,15
8/9/2020,6,3,70,19
8/16/2020,1,2,100,14
8/23/2020,1,3,94,13
8/30/2020,1,3,97,16
9/6/2020,1,2,98,16
9/13/2020,<1,4,75,14
9/20/2020,<1,38,71,13
9/27/2020,<1,5,59,13
10/4/2020,<1,2,56,12
10/11/2020,<1,1,35,13
10/18/2020,<1,1,14,14
10/25/2020,<1,1,13,13
11/1/2020,<1,<1,10,9
11/8/2020,<1,<1,15,29
11/15/2020,<1,1,52,29
11/22/2020,<1,<1,22,24
11/29/2020,<1,<1,19,34
12/6/2020,<1,<1,23,57
12/13/2020,<1,<1,37,79
